Date,Open,High,Low,Close,Adj Close,Volume
1/25/1999,0.442708,0.458333,0.410156,0.453125,0.415786,"51,048,000.00"
1/26/1999,0.458333,0.467448,0.411458,0.417969,0.383527,"34,320,000.00"
1/27/1999,0.419271,0.429688,0.395833,0.416667,0.382332,"24,436,800.00"
1/28/1999,0.416667,0.419271,0.41276,0.415365,0.381137,"22,752,000.00"
1/29/1999,0.415365,0.416667,0.395833,0.395833,0.363215,"24,403,200.00"
2/1/1999,0.395833,0.40625,0.395833,0.403646,0.370384,"15,470,400.00"
2/2/1999,0.395833,0.40625,0.360677,0.372396,0.341709,"26,409,600.00"
2/3/1999,0.367188,0.385417,0.364583,0.380208,0.348878,"7,512,000.00"
2/4/1999,0.385417,0.411458,0.380208,0.401042,0.367995,"18,192,000.00"
2/5/1999,0.407552,0.416667,0.397135,0.41276,0.378747,"13,684,800.00"
2/8/1999,0.415365,0.416667,0.398438,0.398438,0.365605,"15,408,000.00"
2/9/1999,0.40625,0.408854,0.377604,0.382813,0.351268,"8,697,600.00"
2/10/1999,0.382813,0.393229,0.372396,0.378906,0.347683,"14,822,400.00"
2/11/1999,0.380208,0.427083,0.380208,0.411458,0.377552,"13,224,000.00"
2/12/1999,0.416667,0.4375,0.416667,0.434896,0.399059,"10,972,800.00"
2/16/1999,0.442708,0.460938,0.393229,0.4375,0.401448,"21,100,800.00"
2/17/1999,0.427083,0.432292,0.40625,0.414063,0.379943,"6,772,800.00"
2/18/1999,0.427083,0.432292,0.408854,0.420573,0.385916,"7,070,400.00"
2/19/1999,0.416667,0.442708,0.411458,0.434896,0.399059,"7,536,000.00"
2/22/1999,0.442708,0.447917,0.414063,0.4375,0.401448,"20,524,800.00"
2/23/1999,0.447917,0.467448,0.421875,0.458333,0.420565,"13,809,600.00"
2/24/1999,0.526042,0.546875,0.483073,0.494792,0.454019,"61,276,800.00"
2/25/1999,0.515625,0.53125,0.471354,0.479167,0.439682,"14,913,600.00"
2/26/1999,0.484375,0.5,0.453125,0.457031,0.41937,"17,260,800.00"
3/1/1999,0.46875,0.479167,0.4375,0.459635,0.421759,"9,216,000.00"
3/2/1999,0.458333,0.460938,0.447917,0.455729,0.418175,"5,524,800.00"
3/3/1999,0.458333,0.458333,0.421875,0.424479,0.3895,"6,139,200.00"
3/4/1999,0.445313,0.447917,0.411458,0.415365,0.381137,"5,736,000.00"
3/5/1999,0.419271,0.440104,0.419271,0.438802,0.402643,"7,876,800.00"
3/8/1999,0.427083,0.458333,0.419271,0.445313,0.408618,"7,588,800.00"
3/9/1999,0.44401,0.466146,0.44401,0.459635,0.421759,"14,318,400.00"
3/10/1999,0.466146,0.466146,0.445313,0.451823,0.414591,"23,534,400.00"
3/11/1999,0.44401,0.451823,0.432292,0.432292,0.39667,"5,428,800.00"
3/12/1999,0.434896,0.434896,0.416667,0.424479,0.3895,"9,076,800.00"
3/15/1999,0.434896,0.447917,0.432292,0.442708,0.406227,"10,881,600.00"
3/16/1999,0.445313,0.450521,0.424479,0.428385,0.393084,"7,915,200.00"
3/17/1999,0.432292,0.440104,0.420573,0.43099,0.395475,"5,136,000.00"
3/18/1999,0.432292,0.442708,0.421875,0.436198,0.400254,"4,632,000.00"
3/19/1999,0.434896,0.450521,0.434896,0.4375,0.401448,"10,531,200.00"
3/22/1999,0.446615,0.447917,0.424479,0.424479,0.3895,"3,667,200.00"
3/23/1999,0.427083,0.427083,0.390625,0.398438,0.365605,"16,396,800.00"
3/24/1999,0.395833,0.398438,0.380208,0.395833,0.363215,"6,086,400.00"
3/25/1999,0.394531,0.416667,0.393229,0.401042,0.367995,"4,032,000.00"
3/26/1999,0.40625,0.4375,0.40625,0.436198,0.400254,"8,827,200.00"
3/29/1999,0.449219,0.459635,0.441406,0.449219,0.412202,"6,595,200.00"
3/30/1999,0.450521,0.454427,0.408854,0.411458,0.377552,"6,950,400.00"
3/31/1999,0.424479,0.445313,0.404948,0.440104,0.403838,"15,360,000.00"
4/1/1999,0.440104,0.442708,0.419271,0.427083,0.39189,"3,043,200.00"
4/5/1999,0.421875,0.432292,0.411458,0.414063,0.379943,"9,864,000.00"
4/6/1999,0.417969,0.419271,0.395833,0.403646,0.370384,"6,969,600.00"
4/7/1999,0.40625,0.440104,0.403646,0.4375,0.401448,"8,928,000.00"
4/8/1999,0.440104,0.458333,0.434896,0.445313,0.408618,"13,012,800.00"
4/9/1999,0.447917,0.447917,0.434896,0.4375,0.401448,"4,862,400.00"
4/12/1999,0.432292,0.432292,0.411458,0.419271,0.384722,"3,331,200.00"
4/13/1999,0.427083,0.427083,0.395833,0.402344,0.369189,"3,614,400.00"
4/14/1999,0.401042,0.410156,0.390625,0.390625,0.358436,"4,828,800.00"
4/15/1999,0.401042,0.401042,0.390625,0.401042,0.367995,"3,585,600.00"
4/16/1999,0.398438,0.420573,0.398438,0.414063,0.379943,"3,892,800.00"
4/19/1999,0.419271,0.419271,0.390625,0.395833,0.363215,"3,129,600.00"
4/20/1999,0.395833,0.411458,0.384115,0.388021,0.356047,"6,768,000.00"
4/21/1999,0.388021,0.395833,0.385417,0.394531,0.36202,"3,748,800.00"
4/22/1999,0.395833,0.395833,0.373698,0.377604,0.346488,"22,718,400.00"
