Date,Open,High,Low,Close,Adj Close,Volume
1/3/1962,0,1.444702,1.427952,1.436327,0.632343,"77,611.00"
1/4/1962,0,1.438421,1.411202,1.423765,0.626812,"59,701.00"
1/5/1962,0,1.43214,1.394452,1.41539,0.623125,"107,462.00"
1/8/1962,0,1.43214,1.390264,1.390264,0.612063,"89,551.00"
1/9/1962,0,1.402827,1.356764,1.356764,0.597315,"83,581.00"
1/10/1962,0,1.386077,1.373514,1.386077,0.610221,"29,850.00"
1/11/1962,0,1.386077,1.373514,1.377702,0.606534,"47,761.00"
1/12/1962,0,1.407015,1.377702,1.407015,0.619438,"89,551.00"
1/15/1962,0,1.461453,1.407015,1.461453,0.643404,"179,103.00"
1/16/1962,0,1.457265,1.44889,1.457265,0.641561,"95,521.00"
1/17/1962,0,1.453078,1.402827,1.411202,0.621282,"149,252.00"
1/18/1962,0,1.41539,1.390264,1.41539,0.623125,"47,761.00"
1/19/1962,0,1.419577,1.394452,1.398639,0.61575,"35,821.00"
1/22/1962,0,1.427952,1.394452,1.419577,0.624968,"137,312.00"
1/23/1962,0,1.419577,1.394452,1.398639,0.61575,"53,731.00"
1/24/1962,0,1.402827,1.373514,1.402827,0.617595,"125,372.00"
1/25/1962,0,1.402827,1.365139,1.365139,0.601002,"107,462.00"
1/26/1962,0,1.369327,1.352577,1.352577,0.595472,"107,462.00"
1/29/1962,0,1.356764,1.323264,1.323264,0.582567,"35,821.00"
1/30/1962,0,1.329545,1.316982,1.323264,0.582567,"59,701.00"
1/31/1962,0,1.340014,1.329545,1.331639,0.586254,"71,641.00"
2/1/1962,0,1.335826,1.335826,1.335826,0.588097,"17,910.00"
2/2/1962,0,1.348389,1.340014,1.348389,0.593628,"17,910.00"
2/5/1962,0,1.407015,1.344201,1.407015,0.619438,"101,491.00"
2/6/1962,0,1.407015,1.407015,1.407015,0.619438,"41,791.00"
2/7/1962,0,1.407015,1.402827,1.402827,0.617595,"17,910.00"
2/8/1962,0,1.402827,1.402827,1.402827,0.617595,"23,880.00"
2/9/1962,0,1.394452,1.348389,1.365139,0.601002,"65,671.00"
2/12/1962,0,1.365139,1.352577,1.365139,0.601002,"17,910.00"
2/13/1962,0,1.373514,1.365139,1.365139,0.601002,"83,581.00"
2/14/1962,0,1.394452,1.386077,1.394452,0.613908,"59,701.00"
2/15/1962,0,1.41539,1.394452,1.41539,0.623125,"29,850.00"
2/16/1962,0,1.440515,1.423765,1.434234,0.631422,"155,222.00"
2/19/1962,0,1.444702,1.43214,1.436327,0.632343,"41,791.00"
2/20/1962,0,1.440515,1.398639,1.398639,0.61575,"41,791.00"
2/21/1962,0,1.423765,1.411202,1.41539,0.623125,"41,791.00"
2/23/1962,0,1.394452,1.375608,1.375608,0.605611,"53,731.00"
2/26/1962,0,1.365139,1.360952,1.365139,0.601002,"41,791.00"
2/27/1962,0,1.365139,1.352577,1.358858,0.598237,"17,910.00"
2/28/1962,0,1.381889,1.360952,1.381889,0.608377,"59,701.00"
3/1/1962,0,1.390264,1.373514,1.381889,0.608377,"41,791.00"
3/2/1962,0,1.394452,1.383983,1.394452,0.613908,"47,761.00"
3/5/1962,0,1.390264,1.377702,1.390264,0.612063,"23,880.00"
3/6/1962,0,1.41539,1.398639,1.407015,0.619438,"41,791.00"
3/7/1962,0,1.41539,1.411202,1.411202,0.621282,"17,910.00"
3/8/1962,0,1.427952,1.407015,1.427952,0.628656,"53,731.00"
3/9/1962,0,1.436327,1.423765,1.423765,0.626812,"65,671.00"
3/12/1962,0,1.423765,1.402827,1.423765,0.626812,"47,761.00"
3/13/1962,0,1.440515,1.419577,1.436327,0.632343,"113,432.00"
3/14/1962,0,1.499141,1.423765,1.499141,0.659996,"286,564.00"
3/15/1962,0,1.499141,1.474015,1.48239,0.652622,"208,953.00"
3/16/1962,0,1.486578,1.457265,1.457265,0.641561,"137,312.00"
3/19/1962,0,1.469828,1.43214,1.440515,0.634186,"101,491.00"
3/20/1962,0,1.453078,1.436327,1.436327,0.632343,"59,701.00"
3/21/1962,0,1.423765,1.409108,1.419577,0.624968,"47,761.00"
3/22/1962,0,1.436327,1.407015,1.423765,0.626812,"143,282.00"
3/23/1962,0,1.436327,1.427952,1.436327,0.632343,"11,940.00"
3/26/1962,0,1.436327,1.423765,1.425859,0.627734,"65,671.00"
3/27/1962,0,1.43214,1.41539,1.41539,0.624961,"29,850.00"
3/28/1962,0,1.423765,1.402827,1.402827,0.619414,"65,671.00"
3/29/1962,0,1.41539,1.398639,1.398639,0.617564,"41,791.00"
3/30/1962,0,1.41539,1.356764,1.360952,0.600924,"161,192.00"
4/2/1962,0,1.386077,1.373514,1.373514,0.606471,"53,731.00"
4/3/1962,0,1.381889,1.340014,1.340014,0.591679,"77,611.00"
4/4/1962,0,1.342108,1.331639,1.331639,0.587981,"11,940.00"
4/5/1962,0,1.344201,1.302326,1.344201,0.593528,"101,491.00"
4/6/1962,0,1.340014,1.335826,1.340014,0.591679,"17,910.00"
4/9/1962,0,1.335826,1.331639,1.331639,0.587981,"17,910.00"
4/10/1962,0,1.352577,1.340014,1.340014,0.591679,"47,761.00"
4/11/1962,0,1.356764,1.340014,1.35467,0.59815,"71,641.00"
4/12/1962,0,1.331639,1.281388,1.298138,0.573189,"95,521.00"
4/13/1962,0,1.281388,1.256263,1.264638,0.558397,"131,342.00"
4/16/1962,0,1.273013,1.2437,1.256263,0.554699,"53,731.00"
4/17/1962,0,1.298138,1.256263,1.298138,0.573189,"41,791.00"
4/18/1962,0,1.340014,1.314889,1.323264,0.584283,"95,521.00"
4/19/1962,0,1.381889,1.340014,1.373514,0.606471,"101,491.00"
4/23/1962,0,1.386077,1.373514,1.386077,0.612018,"53,731.00"
4/24/1962,0,1.383983,1.373514,1.379796,0.609244,"53,731.00"
4/25/1962,0,1.381889,1.356764,1.356764,0.599075,"89,551.00"
4/26/1962,0,1.340014,1.306514,1.314889,0.580585,"59,701.00"
4/27/1962,0,1.340014,1.316982,1.331639,0.587981,"101,491.00"
4/30/1962,0,1.306514,1.293951,1.293951,0.57134,"53,731.00"
5/1/1962,0,1.298138,1.239513,1.298138,0.573189,"155,222.00"
5/2/1962,0,1.340014,1.319076,1.319076,0.582434,"113,432.00"
5/3/1962,0,1.340014,1.298138,1.340014,0.591679,"47,761.00"
5/4/1962,0,1.348389,1.306514,1.308607,0.577811,"65,671.00"
5/7/1962,0,1.306514,1.289763,1.298138,0.573189,"83,581.00"
5/8/1962,0,1.314889,1.281388,1.281388,0.565793,"23,880.00"
5/9/1962,0,1.277201,1.231138,1.231138,0.543605,"155,222.00"
5/10/1962,0,1.260451,1.206013,1.260451,0.556548,"83,581.00"
5/11/1962,0,1.268826,1.235325,1.2437,0.549152,"113,432.00"
5/14/1962,0,1.237419,1.195544,1.233232,0.54453,"191,043.00"
5/15/1962,0,1.314889,1.264638,1.314889,0.580585,"149,252.00"
5/16/1962,0,1.314889,1.289763,1.306514,0.576887,"155,222.00"
5/17/1962,0,1.306514,1.273013,1.289763,0.56949,"101,491.00"
5/18/1962,0,1.264638,1.235325,1.256263,0.554699,"59,701.00"
5/21/1962,0,1.252075,1.212294,1.214388,0.53621,"101,491.00"
5/22/1962,0,1.214388,1.164137,1.164137,0.514021,"220,893.00"
5/23/1962,0,1.206013,1.147387,1.147387,0.506626,"238,803.00"
5/24/1962,0,1.19345,1.15995,1.172512,0.517719,"226,863.00"
5/25/1962,0,1.180887,1.109699,1.134824,0.501078,"441,786.00"
5/28/1962,0,1.122262,1.092949,1.092949,0.482588,"573,128.00"
5/29/1962,0,1.101324,1.042698,1.101324,0.486286,"471,637.00"
5/31/1962,0,1.164137,1.109699,1.134824,0.501078,"316,415.00"
6/1/1962,0,1.126449,1.092949,1.122262,0.495531,"179,103.00"
6/4/1962,0,1.107605,1.080386,1.08248,0.477965,"304,474.00"
6/5/1962,0,1.069917,1.009198,1.042698,0.4604,"364,175.00"
6/6/1962,0,1.074105,1.046886,1.059448,0.467796,"149,252.00"
6/7/1962,0,1.084574,1.063636,1.06573,0.47057,"47,761.00"
6/8/1962,0,1.092949,1.067824,1.088761,0.480739,"101,491.00"
6/11/1962,0,1.084574,1.072011,1.072011,0.473343,"197,013.00"
6/12/1962,0,1.051073,1.00501,1.00501,0.443759,"125,372.00"
6/13/1962,0,1.011292,0.97151,0.97151,0.428967,"405,966.00"
6/14/1962,0,0.97151,0.900322,0.900322,0.397534,"274,624.00"
6/15/1962,0,1.055261,0.891947,1.055261,0.465947,"292,534.00"
6/18/1962,0,1.055261,0.975698,0.98826,0.436363,"370,145.00"
6/19/1962,0,1.017573,0.975698,0.992448,0.438212,"161,192.00"
6/20/1962,0,1.030136,0.992448,0.994542,0.439137,"197,013.00"
6/21/1962,0,0.975698,0.92126,0.93801,0.414175,"268,654.00"
6/22/1962,0,0.95476,0.910791,0.912884,0.403081,"274,624.00"
6/25/1962,0,0.97151,0.887759,0.952666,0.420647,"370,145.00"
6/26/1962,0,0.950572,0.891947,0.896134,0.397432,"973,124.00"
6/27/1962,0,0.919166,0.864728,0.904509,0.401147,"591,039.00"
6/28/1962,0,0.942197,0.904509,0.925447,0.410432,"477,607.00"
6/29/1962,0,0.95476,0.92126,0.933822,0.414147,"256,714.00"
7/2/1962,0,0.950572,0.917072,0.917072,0.406718,"298,504.00"
7/3/1962,0,0.948479,0.925447,0.929635,0.41229,"244,774.00"
7/5/1962,0,0.95476,0.931728,0.93801,0.416004,"185,073.00"
7/6/1962,0,0.929635,0.891947,0.912884,0.404861,"202,983.00"
7/9/1962,0,0.914978,0.887759,0.914978,0.405789,"292,534.00"
7/10/1962,0,0.950572,0.896134,0.904509,0.401147,"531,338.00"
7/11/1962,0,0.92126,0.896134,0.919166,0.407647,"579,098.00"
7/12/1962,0,0.95476,0.927541,0.933822,0.414147,"1,020,885.00"
7/13/1962,0,0.933822,0.917072,0.929635,0.41229,"435,816.00"
